Sequence Number	Deposit	Latitude	Longitude	MILSREF	MRDSREC	Orange Number
EC1055	Upper Owl Creek Placer	45.3203	-114.4458	160590186	W013466	845
EC1056	Lower Owl Creek Placer	45.3139	-114.4594	160590174	W013462	844
EC1057	Homestake Placer	45.3103	-114.4769	160590143	W013465	843
EC1058	Poverty Flat Placer	45.3072	-114.49	N/A	W013461	842
EC1059	Ebeneezer Placer	45.3047	-114.5142	160590106	W013464	841
EC1060	Lake Creek Placer	45.3003	-114.5192	160590136	W014869	840
EC1062	Shell Creek Placer	45.3014	-114.5414	160590051	W014867	838
EC1063	Colson Creek Placer	45.2986	-114.5319	160590114	W014868	839
EC1064	Salmon Canyon Copper Company Prospect (Jeep Nos. 1-10 Lodes; Shoup Operations)	45.3075	-114.5581	160590450	W015033	836
EC1065	Golden Eagle Placer	45.3011	-114.5531	160590048	W014871	837
EC1066	Devore Claim	45.5819	-114.0553	160590614	W014857	297
EC1067	Lucky Wednesday	45.57	-114.0969	160590443	N/A	298
EC1068	McConn Creek Deposit	45.5339	-114.22	160590023	W014950	299
EC1069	Bull of the Woods	45.5447	-114.0592	160590209	N/A	300
EC1070	Garm-Lamoreaux Mine	45.5414	-114.0336	160590618	W015167	302
EC1071	Provedencia	45.5403	-114.025	160590615	FS00647	301
EC1072	Dell	45.5311	-114.0347	160590622	FS00634	303
EC1073	Gambler Group Placer	45.5314	-114.0539	160590626	FS00629	304
